File Names,word,noise,F0step,textOption_0,textOption_1,textOption_2,textOption_3,sound
HAD_0_F0-6.wav,HAD,0,-6,HEED,HAD,HEAD,HID,HAD_0_F0-6
HEAD_0_F0-6.wav,HEAD,0,-6,HEED,HAD,HEAD,HID,HEAD_0_F0-6
HAD_-6_F0-6.wav,HAD,-6,-6,HEED,HAD,HEAD,HID,HAD_-6_F0-6
HEAD_-6_F0-6.wav,HEAD,-6,-6,HEED,HAD,HEAD,HID,HEAD_-6_F0-6
HAD_NA_F0-6.wav,HAD,NA,-6,HEED,HAD,HEAD,HID,HAD_NA_F0-6
HEAD_NA_F0-6.wav,HEAD,NA,-6,HEED,HAD,HEAD,HID,HEAD_NA_F0-6
HAD_-6_F0-4.wav,HAD,-6,-4,HEED,HAD,HEAD,HID,HAD_-6_F0-4
HEAD_-6_F0-4.wav,HEAD,-6,-4,HEED,HAD,HEAD,HID,HEAD_-6_F0-4
HAD_0_F0-4.wav,HAD,0,-4,HEED,HAD,HEAD,HID,HAD_0_F0-4
HEAD_0_F0-4.wav,HEAD,0,-4,HEED,HAD,HEAD,HID,HEAD_0_F0-4
HAD_NA_F0-4.wav,HAD,NA,-4,HEED,HAD,HEAD,HID,HAD_NA_F0-4
HEAD_NA_F0-4.wav,HEAD,NA,-4,HEED,HAD,HEAD,HID,HEAD_NA_F0-4
HAD_-6_F0-2.wav,HAD,-6,-2,HEED,HAD,HEAD,HID,HAD_-6_F0-2
HEAD_-6_F0-2.wav,HEAD,-6,-2,HEED,HAD,HEAD,HID,HEAD_-6_F0-2
HAD_0_F0-2.wav,HAD,0,-2,HEED,HAD,HEAD,HID,HAD_0_F0-2
HEAD_0_F0-2.wav,HEAD,0,-2,HEED,HAD,HEAD,HID,HEAD_0_F0-2
HAD_NA_F0-2.wav,HAD,NA,-2,HEED,HAD,HEAD,HID,HAD_NA_F0-2
HEAD_NA_F0-2.wav,HEAD,NA,-2,HEED,HAD,HEAD,HID,HEAD_NA_F0-2
HAD_-6_F00.wav,HAD,-6,0,HEED,HAD,HEAD,HID,HAD_-6_F00
HEAD_-6_F00.wav,HEAD,-6,0,HEED,HAD,HEAD,HID,HEAD_-6_F00
HAD_0_F00.wav,HAD,0,0,HEED,HAD,HEAD,HID,HAD_0_F00
HEAD_0_F00.wav,HEAD,0,0,HEED,HAD,HEAD,HID,HEAD_0_F00
N70dB_HID.wav,HID,NA,0,HEED,HAD,HEAD,HID,N70dB_HID
N70dB_HEED.wav,HEED,NA,0,HEED,HAD,HEAD,HID,N70dB_HEED
HAD_NA_F00.wav,HAD,NA,0,HEED,HAD,HEAD,HID,HAD_NA_F00
HEAD_NA_F00.wav,HEAD,NA,0,HEED,HAD,HEAD,HID,HEAD_NA_F00
N70dB_HID.wav,HID,NA,0,HEED,HAD,HEAD,HID,N70dB_HID
N70dB_HEED.wav,HEED,NA,0,HEED,HAD,HEAD,HID,N70dB_HEED
HAD_-6_F02.wav,HAD,-6,2,HEED,HAD,HEAD,HID,HAD_-6_F02
HEAD_-6_F02.wav,HEAD,-6,2,HEED,HAD,HEAD,HID,HEAD_-6_F02
HAD_0_F02.wav,HAD,0,2,HEED,HAD,HEAD,HID,HAD_0_F02
HEAD_0_F02.wav,HEAD,0,2,HEED,HAD,HEAD,HID,HEAD_0_F02
HAD_NA_F02.wav,HAD,NA,2,HEED,HAD,HEAD,HID,HAD_NA_F02
HEAD_NA_F02.wav,HEAD,NA,2,HEED,HAD,HEAD,HID,HEAD_NA_F02
HAD_-6_F04.wav,HAD,-6,4,HEED,HAD,HEAD,HID,HAD_-6_F04
HEAD_-6_F04.wav,HEAD,-6,4,HEED,HAD,HEAD,HID,HEAD_-6_F04
HAD_0_F04.wav,HAD,0,4,HEED,HAD,HEAD,HID,HAD_0_F04
HEAD_0_F04.wav,HEAD,0,4,HEED,HAD,HEAD,HID,HEAD_0_F04
HAD_NA_F04.wav,HAD,NA,4,HEED,HAD,HEAD,HID,HAD_NA_F04
HEAD_NA_F04.wav,HEAD,NA,4,HEED,HAD,HEAD,HID,HEAD_NA_F04
HAD_0_F06.wav,HAD,0,6,HEED,HAD,HEAD,HID,HAD_0_F06
HEAD_0_F06.wav,HEAD,0,6,HEED,HAD,HEAD,HID,HEAD_0_F06
HAD_-6_F0-6.wav,HAD,-6,6,HEED,HAD,HEAD,HID,HAD_-6_F0-6
HEAD_-6_F0-6.wav,HEAD,-6,6,HEED,HAD,HEAD,HID,HEAD_-6_F0-6
HAD_NA_F06.wav,HAD,NA,6,HEED,HAD,HEAD,HID,HAD_NA_F06
HEAD_NA_F06.wav,HEAD,NA,6,HEED,HAD,HEAD,HID,HEAD_NA_F06
