wordSet,word,wordAccent,wordAccentStep,carrier,carrierAccent,carrierAccentStep,textOption_0,textOption_1,option_0,option_1,sound
hanaAdetaA,hana,A,1,deta,A,1,花,鼻,hanaA,hanaU,hanaA01-detaA01
hanaAdetaA,hana,A,1,deta,A,3,花,鼻,hanaA,hanaU,hanaA01-detaA03
hanaAdetaA,hana,A,1,deta,A,5,花,鼻,hanaA,hanaU,hanaA01-detaA05
hanaAdetaA,hana,A,1,deta,A,6,花,鼻,hanaA,hanaU,hanaA01-detaA06
hanaAdetaA,hana,A,1,deta,A,7,花,鼻,hanaA,hanaU,hanaA01-detaA07
hanaAdetaA,hana,A,1,deta,A,9,花,鼻,hanaA,hanaU,hanaA01-detaA09
hanaAdetaA,hana,A,1,deta,A,11,花,鼻,hanaA,hanaU,hanaA01-detaA11
hanaAdetaA,hana,A,3,deta,A,1,花,鼻,hanaA,hanaU,hanaA03-detaA01
hanaAdetaA,hana,A,3,deta,A,3,花,鼻,hanaA,hanaU,hanaA03-detaA03
hanaAdetaA,hana,A,3,deta,A,5,花,鼻,hanaA,hanaU,hanaA03-detaA05
hanaAdetaA,hana,A,3,deta,A,6,花,鼻,hanaA,hanaU,hanaA03-detaA06
hanaAdetaA,hana,A,3,deta,A,7,花,鼻,hanaA,hanaU,hanaA03-detaA07
hanaAdetaA,hana,A,3,deta,A,9,花,鼻,hanaA,hanaU,hanaA03-detaA09
hanaAdetaA,hana,A,3,deta,A,11,花,鼻,hanaA,hanaU,hanaA03-detaA11
hanaAdetaA,hana,A,5,deta,A,1,花,鼻,hanaA,hanaU,hanaA05-detaA01
hanaAdetaA,hana,A,5,deta,A,3,花,鼻,hanaA,hanaU,hanaA05-detaA03
hanaAdetaA,hana,A,5,deta,A,5,花,鼻,hanaA,hanaU,hanaA05-detaA05
hanaAdetaA,hana,A,5,deta,A,6,花,鼻,hanaA,hanaU,hanaA05-detaA06
hanaAdetaA,hana,A,5,deta,A,7,花,鼻,hanaA,hanaU,hanaA05-detaA07
hanaAdetaA,hana,A,5,deta,A,9,花,鼻,hanaA,hanaU,hanaA05-detaA09
hanaAdetaA,hana,A,5,deta,A,11,花,鼻,hanaA,hanaU,hanaA05-detaA11
hanaAdetaA,hana,A,6,deta,A,1,花,鼻,hanaA,hanaU,hanaA06-detaA01
hanaAdetaA,hana,A,6,deta,A,3,花,鼻,hanaA,hanaU,hanaA06-detaA03
hanaAdetaA,hana,A,6,deta,A,5,花,鼻,hanaA,hanaU,hanaA06-detaA05
hanaAdetaA,hana,A,6,deta,A,6,花,鼻,hanaA,hanaU,hanaA06-detaA06
hanaAdetaA,hana,A,6,deta,A,7,花,鼻,hanaA,hanaU,hanaA06-detaA07
hanaAdetaA,hana,A,6,deta,A,9,花,鼻,hanaA,hanaU,hanaA06-detaA09
hanaAdetaA,hana,A,6,deta,A,11,花,鼻,hanaA,hanaU,hanaA06-detaA11
hanaAdetaA,hana,A,7,deta,A,1,花,鼻,hanaA,hanaU,hanaA07-detaA01
hanaAdetaA,hana,A,7,deta,A,3,花,鼻,hanaA,hanaU,hanaA07-detaA03
hanaAdetaA,hana,A,7,deta,A,5,花,鼻,hanaA,hanaU,hanaA07-detaA05
hanaAdetaA,hana,A,7,deta,A,6,花,鼻,hanaA,hanaU,hanaA07-detaA06
hanaAdetaA,hana,A,7,deta,A,7,花,鼻,hanaA,hanaU,hanaA07-detaA07
hanaAdetaA,hana,A,7,deta,A,9,花,鼻,hanaA,hanaU,hanaA07-detaA09
hanaAdetaA,hana,A,7,deta,A,11,花,鼻,hanaA,hanaU,hanaA07-detaA11
hanaAdetaA,hana,A,9,deta,A,1,花,鼻,hanaA,hanaU,hanaA09-detaA01
hanaAdetaA,hana,A,9,deta,A,3,花,鼻,hanaA,hanaU,hanaA09-detaA03
hanaAdetaA,hana,A,9,deta,A,5,花,鼻,hanaA,hanaU,hanaA09-detaA05
hanaAdetaA,hana,A,9,deta,A,6,花,鼻,hanaA,hanaU,hanaA09-detaA06
