File Names,word,noise,F0step,textOption_0,textOption_1,textOption_2,textOption_3,sound
HAD_-3_F0-1.wav,HAD,-3,F0-1,HEED,HAD,HEAD,HARD,HAD_-3_F0-1
HAD_-3_F0-2.wav,HAD,-3,F0-2,HEED,HAD,HEAD,HARD,HAD_-3_F0-2
HAD_-3_F0-3.wav,HAD,-3,F0-3,HEED,HAD,HEAD,HARD,HAD_-3_F0-3
HAD_-3_F0-4.wav,HAD,-3,F0-4,HEED,HAD,HEAD,HARD,HAD_-3_F0-4
HAD_-3_F0-5.wav,HAD,-3,F0-5,HEED,HAD,HEAD,HARD,HAD_-3_F0-5
HAD_-3_F00.wav,HAD,-3,F00,HEED,HAD,HEAD,HARD,HAD_-3_F00
HAD_-3_F01.wav,HAD,-3,F01,HEED,HAD,HEAD,HARD,HAD_-3_F01
HAD_-3_F02.wav,HAD,-3,F02,HEED,HAD,HEAD,HARD,HAD_-3_F02
HAD_-3_F03.wav,HAD,-3,F03,HEED,HAD,HEAD,HARD,HAD_-3_F03
HAD_-3_F04.wav,HAD,-3,F04,HEED,HAD,HEAD,HARD,HAD_-3_F04
HAD_-3_F05.wav,HAD,-3,F05,HEED,HAD,HEAD,HARD,HAD_-3_F05
HAD_-6_F0-1.wav,HAD,-6,F0-1,HEED,HAD,HEAD,HARD,HAD_-6_F0-1
HAD_-6_F0-2.wav,HAD,-6,F0-2,HEED,HAD,HEAD,HARD,HAD_-6_F0-2
HAD_-6_F0-3.wav,HAD,-6,F0-3,HEED,HAD,HEAD,HARD,HAD_-6_F0-3
HAD_-6_F0-4.wav,HAD,-6,F0-4,HEED,HAD,HEAD,HARD,HAD_-6_F0-4
HAD_-6_F0-5.wav,HAD,-6,F0-5,HEED,HAD,HEAD,HARD,HAD_-6_F0-5
HAD_-6_F00.wav,HAD,-6,F00,HEED,HAD,HEAD,HARD,HAD_-6_F00
HAD_-6_F01.wav,HAD,-6,F01,HEED,HAD,HEAD,HARD,HAD_-6_F01
HAD_-6_F02.wav,HAD,-6,F02,HEED,HAD,HEAD,HARD,HAD_-6_F02
HAD_-6_F03.wav,HAD,-6,F03,HEED,HAD,HEAD,HARD,HAD_-6_F03
HAD_-6_F04.wav,HAD,-6,F04,HEED,HAD,HEAD,HARD,HAD_-6_F04
HAD_-6_F05.wav,HAD,-6,F05,HEED,HAD,HEAD,HARD,HAD_-6_F05
HAD_0_F0-1.wav,HAD,0,F0-1,HEED,HAD,HEAD,HARD,HAD_0_F0-1
HAD_0_F0-2.wav,HAD,0,F0-2,HEED,HAD,HEAD,HARD,HAD_0_F0-2
HAD_0_F0-3.wav,HAD,0,F0-3,HEED,HAD,HEAD,HARD,HAD_0_F0-3
HAD_0_F0-4.wav,HAD,0,F0-4,HEED,HAD,HEAD,HARD,HAD_0_F0-4
