"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","781","1","practice","hana","deta","2","A","1","","1","hanaA","hanaU","hanaA01-detaA01","4","2","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","729","0","practice","hana","deta","2","A","11","","11","hanaA","hanaU","hanaA11-detaA11","6","2","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","560","1","practice","hana","deta","2","U","1","","1","hanaA","hanaU","hanaU01-detaU01","8","3","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","479","0","practice","hana","deta","2","U","11","","11","hanaA","hanaU","hanaU11-detaU11","10","3","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","502","1","practice","hana","deta","2","A","1","","1","hanaA","hanaU","hanaA01-detaU01","13","3","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","569","0","practice","hana","deta","2","A","11","","11","hanaA","hanaU","hanaA11-detaU11","15","3","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","553","1","practice","hana","deta","2","U","1","","1","hanaA","hanaU","hanaU01-detaA01","17","3","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","640","1","practice","hana","deta","2","U","11","","11","hanaA","hanaU","hanaU11-detaA11","19","3","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","806","0","iden_exp","hana","deta","1","U","1","","11","hanaU","hanaU","hanaU01-detaU11","22","3","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","637","0","iden_exp","hana","deta","1","A","9","","3","hanaA","hanaU","hanaA09-detaA03","24","3","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","538","1","iden_exp","hana","deta","1","U","11","","11","hanaU","hanaU","hanaU11-detaA11","26","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","596","1","iden_exp","hana","deta","1","U","7","","6","hanaU","hanaU","hanaU07-detaA06","28","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","1176","0","iden_exp","hana","deta","1","A","5","","7","hanaA","hanaU","hanaA05-detaA07","30","4","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","710","1","iden_exp","hana","deta","1","U","7","","6","hanaU","hanaU","hanaU07-detaU06","32","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","546","1","iden_exp","hana","deta","1","A","3","","6","hanaA","hanaU","hanaA03-detaA06","34","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","622","1","iden_exp","hana","deta","1","A","7","","3","hanaA","hanaA","hanaA07-detaU03","36","4","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","770","1","iden_exp","hana","deta","1","A","11","","11","hanaA","hanaU","hanaA11-detaA11","38","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","510","0","iden_exp","hana","deta","1","A","9","","11","hanaA","hanaU","hanaA09-detaA11","40","4","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","897","1","iden_exp","hana","deta","1","A","9","","7","hanaA","hanaU","hanaA09-detaA07","42","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","722","0","iden_exp","hana","deta","1","U","1","","3","hanaU","hanaU","hanaU01-detaU03","44","4","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","488","1","iden_exp","hana","deta","1","U","3","","7","hanaU","hanaU","hanaU03-detaU07","46","5","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","497","1","iden_exp","hana","deta","1","U","1","","5","hanaU","hanaU","hanaU01-detaA05","48","5","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","622","1","iden_exp","hana","deta","1","A","6","","6","hanaA","hanaA","hanaA06-detaU06","50","5","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","503","1","iden_exp","hana","deta","1","A","3","","11","hanaA","hanaA","hanaA03-detaU11","52","5","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","458","0","iden_exp","hana","deta","1","A","1","","5","hanaA","hanaA","hanaA01-detaU05","54","6","another bottle garden frozen anywhere","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","657","0","iden_exp","hana","deta","1","U","11","","6","hanaU","hanaU","hanaU11-detaU06","56","6","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","653","0","iden_exp","hana","deta","1","U","11","","1","hanaU","hanaU","hanaU11-detaA01","58","6","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","602","0","iden_exp","hana","deta","1","U","5","","7","hanaU","hanaU","hanaU05-detaA07","60","7","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","524","1","iden_exp","hana","deta","1","U","9","","5","hanaU","hanaU","hanaU09-detaA05","62","7","another bottle garden frozen anywhere","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","631","0","iden_exp","hana","deta","1","A","3","","3","hanaA","hanaA","hanaA03-detaU03","64","7","another bottle garden frozen anywhere","hanaA"
