"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","740","1","practice","hana","deta","2","A","1","","","hanaA","hanaU","hanaA01-detaA01","4","5","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","603","0","practice","hana","deta","2","A","11","","","hanaA","hanaU","hanaA11-detaA11","6","5","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","738","1","practice","hana","deta","2","U","1","","","hanaA","hanaU","hanaU01-detaU01","8","5","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","511","1","practice","hana","deta","2","U","11","","","hanaA","hanaU","hanaU11-detaU11","10","6","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","913","0","practice","hana","deta","2","A","1","","","hanaA","hanaU","hanaA01-detaU01","13","6","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","739","1","practice","hana","deta","2","A","11","","","hanaA","hanaU","hanaA11-detaU11","15","6","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","452","0","practice","hana","deta","2","U","1","","","hanaA","hanaU","hanaU01-detaA01","17","7","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","541","0","practice","hana","deta","2","U","11","","","hanaA","hanaU","hanaU11-detaA11","19","7","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","660","1","iden_exp","hana","deta","1","A","11","U","7","hanaA","hanaA","hanaA11-detaU07","22","7","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","711","1","iden_exp","hana","deta","1","A","11","U","6","hanaA","hanaA","hanaA11-detaU06","24","7","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","659","0","iden_exp","hana","deta","1","A","3","U","11","hanaA","hanaA","hanaA03-detaU11","26","7","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","612","0","iden_exp","hana","deta","1","A","7","U","5","hanaA","hanaA","hanaA07-detaU05","28","7","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","679","0","iden_exp","hana","deta","1","U","5","U","9","hanaU","hanaU","hanaU05-detaU09","30","7","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","771","0","iden_exp","hana","deta","1","U","1","A","9","hanaU","hanaU","hanaU01-detaA09","32","7","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","436","1","iden_exp","hana","deta","1","U","7","A","1","hanaU","hanaU","hanaU07-detaA01","34","7","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","681","1","iden_exp","hana","deta","1","A","1","U","6","hanaA","hanaA","hanaA01-detaU06","36","8","classroom should anywhere fuel habit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","688","0","iden_exp","hana","deta","1","U","9","A","7","hanaU","hanaU","hanaU09-detaA07","38","8","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","712","1","iden_exp","hana","deta","1","U","5","U","5","hanaU","hanaU","hanaU05-detaU05","40","8","classroom should anywhere fuel habit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","850","1","iden_exp","hana","deta","1","U","1","U","9","hanaU","hanaU","hanaU01-detaU09","42","8","classroom should anywhere fuel habit","hanaU"
