"rt","stimulus","response","phase","word","noise","block","F0step","option_0","option_1","option_2","option_3","sound","correctAnswer","trial_index","time_elapsed","participantID","answer","accuracy"
"1355","<h1>Which word did you hear?</h1>","0","practice","HEAD","NA","practice","0","HEAD","HAD","HEED","HID","HEAD","0","4","37648","","HEAD","1"
"1371","<h1>Which word did you hear?</h1>","3","practice","HID","NA","practice","0","HEAD","HAD","HEED","HID","HID","3","7","43145","","HID","1"
"485","<h1>Which word did you hear?</h1>","1","practice","HAD","NA","practice","0","HEAD","HAD","HEED","HID","HAD","1","10","47766","","HAD","1"
"1099","<h1>Which word did you hear?</h1>","0","practice","HEED","NA","practice","0","HEAD","HAD","HEED","HID","HEED","2","13","52993","","HEAD","0"
"486","<h1>Which word did you hear?</h1>","2","practice","HARD","NA","practice","0","WHO'D","HEARD","HOARD","HARD","HARD","3","17","59818","","HOARD","0"
"600","<h1>Which word did you hear?</h1>","1","practice","HEARD","NA","practice","0","WHO'D","HEARD","HOARD","HARD","HEARD","1","20","64558","","HEARD","1"
"362","<h1>Which word did you hear?</h1>","0","practice","WHO'D","NA","practice","0","WHO'D","HEARD","HOARD","HARD","WHO_D","0","23","69066","","WHO'D","1"
"583","<h1>Which word did you hear?</h1>","2","practice","HOARD","NA","practice","0","WHO'D","HEARD","HOARD","HARD","HOARD","2","26","73791","","HOARD","1"
"1292","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-3","1","F0-4","HEED","HAD","HEAD","HARD","HAD_-3_F0-4","","30","80294","","HAD",""
"673","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-3","1","F0-4","HEED","HAD","HEAD","HARD","HEAD_-3_F0-4","","32","83579","","HEAD",""
"463","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","0","1","F0-1","HEED","HAD","HEAD","HARD","HEAD_0_F0-1","","34","86661","","HEAD",""
"638","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","0","1","F0-1","HEED","HAD","HEAD","HARD","HAD_0_F0-1","","36","89917","","HAD",""
"1445","<h1>Which word did you hear?</h1>","0","iden_exp","HEAD","-6","1","F0-5","HEED","HAD","HEAD","HARD","HEAD_-6_F0-5","","38","93997","","HEED",""
"576","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-6","1","F00","HEED","HAD","HEAD","HARD","HAD_-6_F00","","40","97200","","HAD",""
"411","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","NA","1","F03","HEED","HAD","HEAD","HARD","HAD_F03","","42","100237","","HAD",""
"770","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-3","1","F05","HEED","HAD","HEAD","HARD","HEAD_-3_F05","","44","103634","","HEAD",""
"1410","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","0","1","F0-3","HEED","HAD","HEAD","HARD","HAD_0_F0-3","","46","107670","","HAD",""
"561","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-6","1","F05","HEED","HAD","HEAD","HARD","HAD_-6_F05","","48","110843","","HAD",""
"512","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","NA","1","F01","HEED","HAD","HEAD","HARD","HAD_F01","","50","113978","","HAD",""
"528","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-3","1","F0-2","HEED","HAD","HEAD","HARD","HEAD_-3_F0-2","","52","117121","","HEAD",""
"810","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-3","1","F0-1","HEED","HAD","HEAD","HARD","HAD_-3_F0-1","","54","120549","","HAD",""
"1122","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-3","1","F02","HEED","HAD","HEAD","HARD","HEAD_-3_F02","","56","124306","","HEAD",""
"1935","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-6","1","F02","HEED","HAD","HEAD","HARD","HEAD_-6_F02","","58","128859","","HEAD",""
"342","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-3","1","F00","HEED","HAD","HEAD","HARD","HAD_-3_F00","","60","131822","","HAD",""
"361","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","NA","1","F0-5","HEED","HAD","HEAD","HARD","HEAD_F0-5","","62","134814","","HEAD",""
"949","<h1>Which word did you hear?</h1>","2","iden_exp","HAD","-6","1","F02","HEED","HAD","HEAD","HARD","HAD_-6_F02","","64","138377","","HEAD",""
"529","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","0","1","F05","HEED","HAD","HEAD","HARD","HEAD_0_F05","","66","141535","","HEAD",""
"2095","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","NA","1","F04","HEED","HAD","HEAD","HARD","HAD_F04","","68","146260","","HAD",""
"689","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","NA","1","F00","HEED","HAD","HEAD","HARD","HAD_F00","","70","149574","","HAD",""
"884","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","0","1","F01","HEED","HAD","HEAD","HARD","HEAD_0_F01","","72","153093","","HEAD",""
"362","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-6","1","F0-5","HEED","HAD","HEAD","HARD","HAD_-6_F0-5","","74","156078","","HAD",""
"402","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","0","1","F0-4","HEED","HAD","HEAD","HARD","HEAD_0_F0-4","","76","159115","","HEAD",""
"358","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-3","1","F01","HEED","HAD","HEAD","HARD","HAD_-3_F01","","78","162100","","HAD",""
"735","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-3","1","F01","HEED","HAD","HEAD","HARD","HEAD_-3_F01","","80","165467","","HEAD",""
"1071","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","0","1","F04","HEED","HAD","HEAD","HARD","HAD_0_F04","","82","169151","","HAD",""
"482","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","NA","1","F0-3","HEED","HAD","HEAD","HARD","HAD_F0-3","","84","172256","","HAD",""
"740","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","NA","1","F0-3","HEED","HAD","HEAD","HARD","HEAD_F0-3","","86","175616","","HEAD",""
"372","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","0","1","F02","HEED","HAD","HEAD","HARD","HAD_0_F02","","88","178623","","HAD",""
"407","<h1>Which word did you hear?</h1>","1","iden_exp","HAD","-3","1","F0-2","HEED","HAD","HEAD","HARD","HAD_-3_F0-2","","90","181654","","HAD",""
"4408","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","NA","1","F05","HEED","HAD","HEAD","HARD","HEAD_F05","","92","188703","","HEAD",""
"2378","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-6","1","F03","HEED","HAD","HEAD","HARD","HEAD_-6_F03","","94","193699","","HEAD",""
"2138","<h1>Which word did you hear?</h1>","2","iden_exp","HEAD","-6","1","F05","HEED","HAD","HEAD","HARD","HEAD_-6_F05","","96","198476","","HEAD",""
