"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","1070","1","practice","hana","deta","2","A","1","A","","hanaA","hanaU","hanaA01-detaA01","4","6","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","585","1","practice","hana","deta","2","A","11","A","","hanaA","hanaU","hanaA11-detaA11","6","7","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","575","1","practice","hana","deta","2","U","1","U","","hanaA","hanaU","hanaU01-detaU01","8","7","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","405","0","practice","hana","deta","2","U","11","U","","hanaA","hanaU","hanaU11-detaU11","10","8","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","597","0","practice","hana","deta","2","A","1","U","","hanaA","hanaU","hanaA01-detaU01","13","8","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","560","1","practice","hana","deta","2","A","11","U","","hanaA","hanaU","hanaA11-detaU11","15","9","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","536","0","practice","hana","deta","2","U","1","A","","hanaA","hanaU","hanaU01-detaA01","17","9","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","621","1","practice","hana","deta","2","U","11","A","","hanaA","hanaU","hanaU11-detaA11","19","9","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","635","0","iden_exp","hana","deta","1","A","5","U","6","hanaA","hanaA","hanaA05-detaU06","22","10","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","977","1","iden_exp","hana","deta","1","A","7","U","3","hanaA","hanaA","hanaA07-detaU03","24","10","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","563","1","iden_exp","hana","deta","1","U","5","A","6","hanaU","hanaU","hanaU05-detaA06","26","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","971","0","iden_exp","hana","deta","1","U","6","A","11","hanaU","hanaU","hanaU06-detaA11","28","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","617","0","iden_exp","hana","deta","1","U","7","U","6","hanaU","hanaU","hanaU07-detaU06","30","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","473","1","iden_exp","hana","deta","1","U","7","A","7","hanaU","hanaU","hanaU07-detaA07","32","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","631","0","iden_exp","hana","deta","1","U","9","A","6","hanaU","hanaU","hanaU09-detaA06","34","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","693","1","iden_exp","hana","deta","1","U","3","A","11","hanaU","hanaU","hanaU03-detaA11","36","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","534","0","iden_exp","hana","deta","1","U","6","A","6","hanaU","hanaU","hanaU06-detaA06","38","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","619","1","iden_exp","hana","deta","1","U","3","U","7","hanaU","hanaU","hanaU03-detaU07","40","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","449","0","iden_exp","hana","deta","1","A","3","A","5","hanaA","hanaU","hanaA03-detaA05","42","11","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","808","0","iden_exp","hana","deta","1","U","7","U","1","hanaU","hanaU","hanaU07-detaU01","44","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","642","1","iden_exp","hana","deta","1","U","6","U","3","hanaU","hanaU","hanaU06-detaU03","46","11","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","549","0","iden_exp","hana","deta","1","A","7","A","1","hanaA","hanaU","hanaA07-detaA01","48","12","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","619","1","iden_exp","hana","deta","1","U","9","A","7","hanaU","hanaU","hanaU09-detaA07","50","12","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","393","0","iden_exp","hana","deta","1","U","5","A","3","hanaU","hanaU","hanaU05-detaA03","52","12","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","1025","1","iden_exp","hana","deta","1","U","3","A","7","hanaU","hanaU","hanaU03-detaA07","54","12","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","851","0","iden_exp","hana","deta","1","U","6","U","1","hanaU","hanaU","hanaU06-detaU01","56","12","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","596","0","iden_exp","hana","deta","1","U","1","U","11","hanaU","hanaU","hanaU01-detaU11","58","12","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","513","0","iden_exp","hana","deta","1","A","3","A","7","hanaA","hanaU","hanaA03-detaA07","60","12","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","1129","0","iden_exp","hana","deta","1","A","3","U","6","hanaA","hanaA","hanaA03-detaU06","62","12","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","670","1","iden_exp","hana","deta","1","U","5","U","1","hanaU","hanaU","hanaU05-detaU01","64","13","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","781","0","iden_exp","hana","deta","1","U","7","A","3","hanaU","hanaU","hanaU07-detaA03","66","13","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","1092","0","iden_exp","hana","deta","1","A","11","U","1","hanaA","hanaA","hanaA11-detaU01","68","14","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","948","1","iden_exp","hana","deta","1","A","1","U","9","hanaA","hanaA","hanaA01-detaU09","70","14","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","424","0","iden_exp","hana","deta","1","A","5","A","11","hanaA","hanaU","hanaA05-detaA11","72","14","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","627","1","iden_exp","hana","deta","1","A","11","A","5","hanaA","hanaU","hanaA11-detaA05","74","14","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","618","1","iden_exp","hana","deta","1","A","11","A","11","hanaA","hanaU","hanaA11-detaA11","76","14","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","566","0","iden_exp","hana","deta","1","A","1","A","5","hanaA","hanaU","hanaA01-detaA05","78","15","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","729","0","iden_exp","hana","deta","1","A","5","A","6","hanaA","hanaU","hanaA05-detaA06","80","15","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","661","1","iden_exp","hana","deta","1","U","6","U","6","hanaU","hanaU","hanaU06-detaU06","82","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","743","0","iden_exp","hana","deta","1","U","11","A","11","hanaU","hanaU","hanaU11-detaA11","84","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","618","1","iden_exp","hana","deta","1","U","5","U","7","hanaU","hanaU","hanaU05-detaU07","86","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","581","1","iden_exp","hana","deta","1","U","7","U","3","hanaU","hanaU","hanaU07-detaU03","88","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","682","1","iden_exp","hana","deta","1","U","11","U","5","hanaU","hanaU","hanaU11-detaU05","90","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","517","0","iden_exp","hana","deta","1","U","11","A","3","hanaU","hanaU","hanaU11-detaA03","92","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","638","1","iden_exp","hana","deta","1","U","6","U","5","hanaU","hanaU","hanaU06-detaU05","94","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","590","1","iden_exp","hana","deta","1","A","7","U","7","hanaA","hanaA","hanaA07-detaU07","96","15","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","503","1","iden_exp","hana","deta","1","U","1","A","11","hanaU","hanaU","hanaU01-detaA11","98","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","715","0","iden_exp","hana","deta","1","U","1","A","7","hanaU","hanaU","hanaU01-detaA07","100","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","876","1","iden_exp","hana","deta","1","A","6","U","7","hanaA","hanaA","hanaA06-detaU07","102","15","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","542","0","iden_exp","hana","deta","1","U","7","U","5","hanaU","hanaU","hanaU07-detaU05","104","15","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","650","0","iden_exp","hana","deta","1","A","6","A","6","hanaA","hanaU","hanaA06-detaA06","106","16","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","1023","0","iden_exp","hana","deta","1","A","7","U","9","hanaA","hanaA","hanaA07-detaU09","108","16","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","654","1","iden_exp","hana","deta","1","A","3","U","3","hanaA","hanaA","hanaA03-detaU03","110","16","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","560","1","iden_exp","hana","deta","1","A","11","A","1","hanaA","hanaU","hanaA11-detaA01","112","16","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","536","0","iden_exp","hana","deta","1","U","9","A","5","hanaU","hanaU","hanaU09-detaA05","114","16","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","534","1","iden_exp","hana","deta","1","U","9","A","3","hanaU","hanaU","hanaU09-detaA03","116","16","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","522","0","iden_exp","hana","deta","1","U","5","A","5","hanaU","hanaU","hanaU05-detaA05","118","16","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","576","1","iden_exp","hana","deta","1","A","9","U","7","hanaA","hanaA","hanaA09-detaU07","120","17","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","472","1","iden_exp","hana","deta","1","A","11","U","9","hanaA","hanaA","hanaA11-detaU09","122","17","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","604","0","iden_exp","hana","deta","1","U","7","A","9","hanaU","hanaU","hanaU07-detaA09","124","17","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","492","1","iden_exp","hana","deta","1","U","7","U","7","hanaU","hanaU","hanaU07-detaU07","126","17","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","511","1","iden_exp","hana","deta","1","U","9","U","3","hanaU","hanaU","hanaU09-detaU03","128","17","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","549","1","iden_exp","hana","deta","1","U","1","U","1","hanaU","hanaU","hanaU01-detaU01","130","17","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","691","1","iden_exp","hana","deta","1","U","6","U","7","hanaU","hanaU","hanaU06-detaU07","132","17","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","612","0","iden_exp","hana","deta","1","A","6","U","9","hanaA","hanaA","hanaA06-detaU09","134","17","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","599","1","iden_exp","hana","deta","1","U","11","A","6","hanaU","hanaU","hanaU11-detaA06","136","17","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","525","1","iden_exp","hana","deta","1","A","9","U","6","hanaA","hanaA","hanaA09-detaU06","138","18","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","650","0","iden_exp","hana","deta","1","A","7","A","9","hanaA","hanaU","hanaA07-detaA09","140","18","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","537","0","iden_exp","hana","deta","1","A","6","U","6","hanaA","hanaA","hanaA06-detaU06","142","19","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","573","1","iden_exp","hana","deta","1","A","3","A","3","hanaA","hanaU","hanaA03-detaA03","144","19","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","557","0","iden_exp","hana","deta","1","U","6","U","11","hanaU","hanaU","hanaU06-detaU11","146","19","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","623","1","iden_exp","hana","deta","1","A","3","U","1","hanaA","hanaA","hanaA03-detaU01","148","19","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","571","0","iden_exp","hana","deta","1","A","11","A","9","hanaA","hanaU","hanaA11-detaA09","150","20","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","751","1","iden_exp","hana","deta","1","U","3","U","1","hanaU","hanaU","hanaU03-detaU01","152","20","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","612","0","iden_exp","hana","deta","1","U","5","U","3","hanaU","hanaU","hanaU05-detaU03","154","20","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","855","0","iden_exp","hana","deta","1","A","11","A","7","hanaA","hanaU","hanaA11-detaA07","156","21","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","577","1","iden_exp","hana","deta","1","U","11","U","3","hanaU","hanaU","hanaU11-detaU03","158","21","paper took","hanaU"
