"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","521","0","practice","hana","deta","2","A","1","A","1","hanaA","hanaU","hanaA01-detaA01","4","2","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","481","0","practice","hana","deta","2","A","11","A","11","hanaA","hanaU","hanaA11-detaA11","6","2","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","607","0","practice","hana","deta","2","U","1","U","1","hanaA","hanaU","hanaU01-detaU01","8","3","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","565","0","practice","hana","deta","2","U","11","U","11","hanaA","hanaU","hanaU11-detaU11","10","3","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","570","1","practice","hana","deta","2","A","1","U","1","hanaA","hanaU","hanaA01-detaU01","13","3","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","551","1","practice","hana","deta","2","A","11","U","11","hanaA","hanaU","hanaA11-detaU11","15","3","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","538","1","practice","hana","deta","2","U","1","A","1","hanaA","hanaU","hanaU01-detaA01","17","3","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","606","1","practice","hana","deta","2","U","11","A","11","hanaA","hanaU","hanaU11-detaA11","19","3","visit","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","576","1","iden_exp","hana","deta","1","U","1","U","9","hanaU","hanaU","hanaU01-detaU09","22","3","visit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","589","1","iden_exp","hana","deta","1","A","3","A","1","hanaA","hanaU","hanaA03-detaA01","24","4","visit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","583","0","iden_exp","hana","deta","1","U","11","A","11","hanaU","hanaU","hanaU11-detaA11","26","4","visit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","520","0","iden_exp","hana","deta","1","U","3","U","7","hanaU","hanaU","hanaU03-detaU07","28","4","visit","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","727","1","iden_exp","hana","deta","1","A","9","U","9","hanaA","hanaA","hanaA09-detaU09","30","4","visit","hanaA"
