"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","497","1","practice","hana","deta","2","A","1","","1","hanaA","hanaU","hanaA01-detaA01","4","4","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","512","0","practice","hana","deta","2","A","11","","11","hanaA","hanaU","hanaA11-detaA11","6","4","whale","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","893","1","practice","hana","deta","2","U","1","","1","hanaA","hanaU","hanaU01-detaU01","8","5","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","906","1","practice","hana","deta","2","U","11","","11","hanaA","hanaU","hanaU11-detaU11","10","5","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","603","0","practice","hana","deta","2","A","1","","1","hanaA","hanaU","hanaA01-detaU01","13","5","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","581","1","practice","hana","deta","2","A","11","","11","hanaA","hanaU","hanaA11-detaU11","15","5","whale","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","745","1","practice","hana","deta","2","U","1","","1","hanaA","hanaU","hanaU01-detaA01","17","5","whale","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","987","1","practice","hana","deta","2","U","11","","11","hanaA","hanaU","hanaU11-detaA11","19","6","whale","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","686","0","iden_exp","hana","deta","1","U","9","1","","hanaU","hanaU","hanaU09-detaA01","22","6","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","958","1","iden_exp","hana","deta","1","U","11","6","","hanaU","hanaU","hanaU11-detaU06","24","7","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","587","0","iden_exp","hana","deta","1","U","9","1","","hanaU","hanaU","hanaU09-detaU01","26","7","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","585","0","iden_exp","hana","deta","1","U","3","6","","hanaU","hanaU","hanaU03-detaA06","28","7","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","942","1","iden_exp","hana","deta","1","U","7","3","","hanaU","hanaU","hanaU07-detaU03","30","7","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","510","0","iden_exp","hana","deta","1","U","6","7","","hanaU","hanaU","hanaU06-detaA07","32","8","whale","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","555","0","iden_exp","hana","deta","1","A","5","7","","hanaA","hanaA","hanaA05-detaU07","34","8","whale","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","871","0","iden_exp","hana","deta","1","A","3","5","","hanaA","hanaA","hanaA03-detaU05","36","8","whale","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","648","0","iden_exp","hana","deta","1","A","3","1","","hanaA","hanaA","hanaA03-detaU01","38","8","whale","hanaA"
